cluster,course_level,reviews,mean_difficulty,mean_quality
Gottwald Sciences,100.0,704,3.1832386363636362,3.893465909090909
Gottwald Sciences,200.0,500,3.346,3.796
Gottwald Sciences,300.0,162,3.5308641975308643,3.685185185185185
Gottwald Sciences,400.0,7,3.2857142857142856,5.0
Math & CS,100.0,169,3.3431952662721893,3.201183431952663
Math & CS,200.0,651,3.356374807987711,3.2688172043010755
Math & CS,300.0,138,3.3115942028985508,4.043478260869565
Robins Business,100.0,103,2.650485436893204,3.6019417475728157
Robins Business,200.0,678,3.0722713864306783,4.061946902654867
Robins Business,300.0,639,3.2613458528951487,3.8012519561815337
Robins Business,400.0,89,3.5730337078651684,3.606741573033708
