department,reviews,review_weighted_quality,review_weighted_difficulty,professors,professor_weighted_quality,professor_weighted_difficulty,cluster,rank
Computer Science,317,3.4858044164037856,3.495268138801262,27,3.630380432434632,3.2567225673834286,Math & CS,1
History,826,3.9128329297820823,3.3983050847457625,40,3.722220969718287,3.314606837828414,A&S Humanities / Social Sciences / Arts,2
Finance,198,3.6414141414141414,3.393939393939394,17,3.6547226746129025,3.4686219241522904,Robins Business,3
Law,212,3.5660377358490565,3.3726415094339623,40,3.995232683982684,3.1199053030303032,Other / Excluded,4
Philosophy,279,3.7419354838709675,3.3620071684587813,21,3.684392544181977,3.257471662851746,A&S Humanities / Social Sciences / Arts,5
English,803,3.5080946450809463,3.3586550435865505,47,3.607047340100563,3.1464655768162832,A&S Humanities / Social Sciences / Arts,6
Economics,1123,3.6491540516473733,3.346393588601959,41,3.6036744878835645,3.023209032860708,Economics,7
Physics,183,3.7049180327868854,3.3278688524590163,16,3.7353959472545,3.1355940276828433,Gottwald Sciences,8
Mathematics,837,3.2783751493428914,3.315412186379928,39,3.4575170425714634,3.19114403485505,Math & CS,9
Leadership,428,3.9088785046728973,3.30607476635514,32,3.8185034332443872,3.2533268954128087,Jepson,10
Accounting,511,3.892367906066536,3.3013698630136985,22,3.818186961727081,3.1386355536638746,Robins Business,11
Chemistry,698,4.038681948424069,3.2879656160458453,32,3.873996148578607,3.276292699677887,Gottwald Sciences,12
Management,180,3.9833333333333334,3.2777777777777777,12,3.903296857463524,3.2159030784030787,Robins Business,13
Biology,651,3.640552995391705,3.251920122887865,49,3.608778397500082,3.1834293256429507,Gottwald Sciences,14
Political Science,777,4.177606177606178,3.1196911196911197,37,4.036334697597212,3.0505123293916396,A&S Humanities / Social Sciences / Arts,15
Psychology,336,4.148809523809524,3.080357142857143,37,4.245400260647939,2.9163419352660838,A&S Humanities / Social Sciences / Arts,16
Communication,185,3.9783783783783786,3.075675675675676,11,4.356249306249307,2.476369741369741,A&S Humanities / Social Sciences / Arts,17
Spanish,131,3.9770992366412212,3.0610687022900764,16,4.071716569249464,2.8903958797050904,A&S Humanities / Social Sciences / Arts,18
Journalism,144,4.277777777777778,3.0416666666666665,11,4.341992197525794,3.0504098010026865,A&S Humanities / Social Sciences / Arts,19
Classics,127,3.9291338582677167,2.9921259842519685,10,4.258066814545943,2.8744837188757333,A&S Humanities / Social Sciences / Arts,20
Marketing,171,3.760233918128655,2.953216374269006,16,3.7822767857142856,2.818827614379085,Robins Business,21
Business,592,3.9054054054054053,2.945945945945946,55,3.775072667168069,2.7597354251363244,Robins Business,22
Languages,881,4.01589103291714,2.9330306469920546,53,4.116475713398654,2.77755759659975,A&S Humanities / Social Sciences / Arts,23
Sociology,208,3.605769230769231,2.923076923076923,19,3.7581376011329573,2.6177725396378646,A&S Humanities / Social Sciences / Arts,24
Music,205,3.7756097560975608,2.9121951219512194,25,3.935055042996219,2.8474685020861497,A&S Humanities / Social Sciences / Arts,25
Theater,151,3.834437086092715,2.5099337748344372,17,3.795408758469063,2.5098171152518978,A&S Humanities / Social Sciences / Arts,26
Education,111,4.27027027027027,2.27027027027027,19,3.89922723475355,2.845843776106934,Other / Excluded,27
