canonical_professor,reviews,mean_quality,mean_difficulty,quality_sd,department,cluster,bayesian_quality,bayesian_difficulty,alpha_raw,alpha_shrunk
. Babb,20,3.25,3.9,1.164157703189193,Marketing,Robins Business,3.529363101560585,3.5408570961679873,0.051365450451790376,0.025682725225895188
. McGarvie,28,3.0357142857142856,3.9642857142857144,1.3466595945123119,History,A&S Humanities / Social Sciences / Arts,3.357802584633821,3.6382142468066565,-0.47213455205149757,-0.2754118220300403
Abbie Sadler,21,4.523809523809524,3.238095238095238,0.9283882603225667,Accounting,Robins Business,4.1749883917664246,3.210592288944378,0.5139957281377365,0.2632661046559138
Abdullah Kumas,28,4.571428571428571,4.035714285714286,0.7417981870189156,Accounting,Robins Business,4.253635917967154,3.6798809134733235,0.9602156951290839,0.5601258221586323
Abigail Cheever,32,4.1875,3.53125,1.148280622102792,English,A&S Humanities / Social Sciences / Arts,4.041817770431219,3.3968131508984523,0.7030562144986285,0.4326499781530022
Abner Holton,21,2.857142857142857,3.8095238095238093,1.4242792663559452,History,A&S Humanities / Social Sciences / Arts,3.321329855181059,3.5032752157736464,-0.688982475888323,-0.35289346325987275
Akira Suzuki,34,3.6176470588235294,4.0588235294117645,1.3487301745638252,Languages,A&S Humanities / Social Sciences / Arts,3.6884171122671,3.7339682193836943,0.06164122796342415,0.03881114353252632
Alan Loxterman,25,2.08,3.68,1.5790292376436015,English,A&S Humanities / Social Sciences / Arts,2.8483227569427423,3.4585396410382114,-1.1535337662408052,-0.6408520923560029
Aleksandra Sznajder-Lee,29,4.137931034482759,2.7586206896551726,0.9900987660342085,Political Science,A&S Humanities / Social Sciences / Arts,4.003561715559662,2.9313119152391733,-0.30964572779494626,-0.18325971645007022
Alexander Persaud,20,4.05,4.15,1.1909748329127607,Economics,Economics,3.929363101560585,3.6658570961679877,0.6294438176564985,0.31472190882824924
Amy Treonis,28,3.75,3.0357142857142856,1.481365736219265,Biology,Gottwald Sciences,3.774469251300488,3.0965475801399895,-0.003707010650844841,-0.0021624228796594904
Andrea Simpson,31,2.903225806451613,3.4193548387096775,1.3989243179356872,Political Science,A&S Humanities / Social Sciences / Arts,3.258324001223988,3.3261624283670486,-1.0348669351146091,-0.6290367644814291
Andrea Waddle,34,4.323529411764706,3.2941176470588234,1.0651671724050364,Economics,Economics,4.1328615567115445,3.252486737902213,0.5746912245156741,0.36184262284320223
Andy McGraw,21,3.6666666666666665,3.0952380952380953,1.6532795690182993,Music,A&S Humanities / Social Sciences / Arts,3.7359640015225217,3.1374215572370607,-0.14973954407130993,-0.0766958640365246
Angel Otero-Blanco,25,4.56,2.2,0.7681145747868606,Languages,A&S Humanities / Social Sciences / Arts,4.22610053472052,2.636317418815989,0.2384745303312006,0.13248585018400036
Anthony Russell,26,3.576923076923077,3.6923076923076925,1.4470128381759968,English,A&S Humanities / Social Sciences / Arts,3.6777070448352913,3.4703105184069454,0.2827634667862661,0.15982282905310694
Arthur Charlesworth,46,3.130434782608696,3.652173913043478,1.627659473697997,Computer Science,Math & CS,3.335977637309446,3.509610361313932,-0.26298181035433243,-0.18329035267120142
Ashley Austin,23,3.8260869565217392,3.3043478260869565,1.6139216471080473,Accounting,Robins Business,3.8180121874982187,3.247308926667895,-0.2528416380511242,-0.13524087616688038
Aurora Hermida-Ruiz,24,3.7083333333333335,3.4583333333333335,1.1970676733137326,Languages,A&S Humanities / Social Sciences / Arts,3.753966455964168,3.3325973601527155,-0.1600145221916158,-0.08728064846815406
Barry Lawson,20,4.75,3.25,0.4442616583193192,Computer Science,Math & CS,4.279363101560585,3.2158570961679875,1.167322708069166,0.583661354034583
