review_year,reviews,mean_quality,mean_difficulty
2002,6,4.5,2.8333333333333335
2003,115,3.608695652173913,3.3043478260869565
2004,740,3.45,3.247297297297297
2005,883,3.460928652321631,3.2231030577576445
2006,520,3.5846153846153848,3.201923076923077
2007,285,3.6736842105263157,3.3403508771929826
2008,338,3.6538461538461537,3.230769230769231
2009,327,3.7186544342507646,3.4159021406727827
2010,396,3.595959595959596,3.176767676767677
2011,431,3.679814385150812,3.1183294663573085
2012,350,3.94,2.8971428571428572
2013,326,3.911042944785276,3.003067484662577
2014,378,3.6746031746031744,3.0502645502645502
2015,386,3.645077720207254,3.098445595854922
2016,456,3.8508771929824563,3.164473684210526
2017,409,3.941320293398533,3.295843520782396
2018,496,3.9798387096774195,3.372983870967742
2019,451,3.8780487804878048,3.401330376940133
2020,525,3.900952380952381,3.3447619047619046
2021,680,3.8073529411764704,3.1926470588235296
2022,740,4.129729729729729,3.1027027027027025
2023,707,4.063649222065064,3.118811881188119
2024,950,3.991578947368421,3.111578947368421
2025,935,4.020320855614973,3.023529411764706
2026,409,3.750611246943765,3.21760391198044
